Surrogate,generation,0,mu,100,lambda,25
	2228.0,3596.0,2064.0,0.019795,0.028431,19.0,184.0,79.0,0.0,fitness,(0.007108902620547095),fitnesses,(14.083510091139962,-0.007125934353981025,690.3348127053057,)
	4446.0,4311.0,2275.0,0.224489,0.028054,180.0,196.0,78.0,13.0,fitness,(0.043716701858246915),fitnesses,(44.441438896132425,1.1435370933896054,1216.010797178156,)
	2406.0,4107.0,4760.0,0.078915,0.227536,35.0,101.0,65.0,14.0,fitness,(0.012480783033915987),fitnesses,(5.3634286337066674,0.2675935556113619,-444.1418844095701,)
	1504.0,75.0,4940.0,0.118857,0.180749,21.0,110.0,100.0,15.0,fitness,(0.049056784469486935),fitnesses,(43.27467900213714,0.9224793394474332,344.2687927124535,)
	2694.0,1246.0,3746.0,0.127131,0.248341,147.0,155.0,78.0,16.0,fitness,(0.013211689763379476),fitnesses,(11.642322121777438,0.8732226286527497,716.285864492546,)
	1024.0,4403.0,2384.0,0.043832,0.039352,75.0,31.0,62.0,17.0,fitness,(0.0456685093469179),fitnesses,(47.96021249640001,0.6680423768175335,897.2126917657445,)
	3113.0,1586.0,1956.0,0.182369,0.097848,68.0,89.0,102.0,18.0,fitness,(0.033652977908639255),fitnesses,(23.04354036646924,1.1767717223085914,115.82796809158967,)
	2772.0,4391.0,1710.0,0.054059,0.218964,180.0,22.0,153.0,19.0,fitness,(0.01571376115570694),fitnesses,(14.203660735762021,0.36273783206219057,211.7277900676988,)
	3513.0,2321.0,1867.0,0.23731,0.18252,81.0,171.0,194.0,20.0,fitness,(0.023285528063067107),fitnesses,(21.134037883467748,1.2745917700074811,1059.442752047545,)
	2352.0,233.0,4710.0,0.168127,0.239741,78.0,139.0,61.0,21.0,fitness,(0.01646653396736304),fitnesses,(15.037174550298024,0.8032433620236699,660.3074203171684,)
	4939.0,1326.0,1713.0,0.147005,0.228057,15.0,112.0,28.0,22.0,fitness,(0.022966423797018798),fitnesses,(21.812380776350217,0.9219879968537767,806.5836947869184,)
	3255.0,751.0,3027.0,0.123265,0.129896,122.0,120.0,95.0,23.0,fitness,(0.03233057260934308),fitnesses,(30.03907462751561,0.9343183842593493,705.1685860766029,)
	2797.0,3286.0,1182.0,0.072413,0.142436,169.0,85.0,135.0,24.0,fitness,(0.019129001315235556),fitnesses,(17.81758665426407,0.11280672715207588,-18.334738945072917,)
	1511.0,3883.0,2500.0,0.169397,0.083384,20.0,186.0,127.0,25.0,fitness,(0.016688894231735998),fitnesses,(22.825241328941196,0.048925342992218165,662.5600527127381,)
	1504.0,387.0,2421.0,0.08843,0.007494,99.0,16.0,20.0,26.0,fitness,(0.7737315422158801),fitnesses,(757.0984858504045,5.358292027870312,3694.986391322756,)
	3289.0,2373.0,1590.0,0.070511,0.040113,164.0,113.0,61.0,27.0,fitness,(0.06464115750604825),fitnesses,(53.44608289253929,0.8772278546604146,-242.27960669048144,)
	4392.0,824.0,4120.0,0.126592,0.159436,193.0,29.0,32.0,28.0,fitness,(-0.019681209113523508),fitnesses,(31.297801117016007,0.9457917782942429,6043.692801348194,)
	3500.0,4402.0,2516.0,0.151545,0.077391,138.0,69.0,10.0,29.0,fitness,(0.025611994745225998),fitnesses,(30.694897859809977,-0.07121700670040541,437.07330475799284,)
	297.0,2647.0,3090.0,0.000116,0.022048,43.0,151.0,23.0,30.0,fitness,(0.2602454666371678),fitnesses,(268.11144196474123,1.0417091816720232,1828.3067144293648,)
	2630.0,1543.0,3675.0,0.098566,0.187192,25.0,166.0,61.0,31.0,fitness,(0.01872321044413431),fitnesses,(14.20754915141339,0.8725164433086714,420.9503140365793,)
	4865.0,257.0,1749.0,0.071849,0.101004,194.0,35.0,161.0,32.0,fitness,(0.0603835452366708),fitnesses,(50.88751962456739,1.2277515644973107,278.14900328697,)
	2936.0,3193.0,24.0,0.019854,0.236584,72.0,18.0,83.0,33.0,fitness,(0.01565260656607818),fitnesses,(12.494585423050538,0.5947870412169497,278.98492691418545,)
	3638.0,4490.0,1604.0,0.134776,0.189462,70.0,65.0,42.0,34.0,fitness,(0.012953361656016078),fitnesses,(9.607578119314065,0.05367154214570925,-280.906811524492,)
	1630.0,1875.0,1920.0,0.009187,0.009227,170.0,134.0,149.0,35.0,fitness,(0.41068950301004925),fitnesses,(411.76983804510627,0.13446171053654105,242.49521404224592,)
	21.0,1502.0,3643.0,0.140277,0.100001,34.0,144.0,121.0,36.0,fitness,(0.11938421110360428),fitnesses,(101.84657505581428,2.0438536560391087,290.09005126011016,)
	1571.0,4325.0,19.0,0.117224,0.040836,56.0,137.0,14.0,37.0,fitness,(0.030843888044185974),fitnesses,(33.2800705737432,-0.022665388445380557,220.95286451034238,)
	3369.0,1191.0,3674.0,0.085521,0.152614,122.0,64.0,33.0,38.0,fitness,(0.027987443378101315),fitnesses,(28.17282238706659,0.8316014986368804,850.1393995334083,)
	4623.0,1442.0,3139.0,0.065076,0.093343,23.0,40.0,93.0,39.0,fitness,(0.03821733651683363),fitnesses,(29.514610095761846,1.0309756853423293,160.70304323515086,)
	2537.0,2407.0,215.0,0.104668,0.183775,124.0,80.0,8.0,40.0,fitness,(0.017870195487947306),fitnesses,(16.81948002395857,0.2565062780933987,151.43473169452486,)
	131.0,2014.0,4069.0,0.043065,0.1989,142.0,64.0,41.0,41.0,fitness,(0.033677575322457076),fitnesses,(85.68260116991159,1.2714085911499557,6471.911175895407,)
	3008.0,3.0,73.0,0.019161,0.110825,163.0,92.0,186.0,42.0,fitness,(0.08159369452119386),fitnesses,(70.45222101353073,0.9955479272498657,-118.59942351644744,)
