Surrogate,generation,0,mu,100,lambda,25
	4055.0,3962.0,525.0,0.212629,0.112249,159.0,37.0,134.0,0.0,fitness,(0.014110594807375526),fitnesses,(12.447076227455712,0.4404237198922577,274.07186190027636,)
	2649.0,4646.0,2136.0,0.027605,0.048236,149.0,104.0,4.0,23.0,fitness,(-0.010893933268692407),fitnesses,(9.6885636952344,-0.003774941263480977,2054.4747551291994,)
	1639.0,723.0,1193.0,0.176686,0.022885,148.0,190.0,145.0,24.0,fitness,(0.09148922636900965),fitnesses,(88.58845173253405,1.2192130603091405,929.1355966615819,)
	1354.0,675.0,3456.0,0.10567,0.219091,177.0,146.0,106.0,25.0,fitness,(0.026565809762349804),fitnesses,(24.79434577341243,0.8805662888150539,703.4198899213169,)
	2352.0,2763.0,739.0,0.208404,0.097105,52.0,110.0,21.0,26.0,fitness,(7.76274171245912e-05),fitnesses,(3.189288613693966,-0.06239665644861701,248.76946320832045,)
	4423.0,2614.0,4602.0,0.168659,0.023817,153.0,143.0,100.0,27.0,fitness,(0.05963526706537436),fitnesses,(61.14479598895819,1.0361877126405326,1187.140604998916,)
	562.0,1458.0,4588.0,0.189763,0.111135,175.0,99.0,25.0,28.0,fitness,(-0.02456956316147739),fitnesses,(-12.76703613429538,1.1333299067797622,2313.582609497963,)
	2245.0,1450.0,4622.0,0.078329,0.076119,165.0,141.0,160.0,29.0,fitness,(0.06257695906551641),fitnesses,(59.12758922824671,1.0690390369499512,724.1020532229809,)
	745.0,1781.0,708.0,0.120069,0.241506,70.0,5.0,29.0,30.0,fitness,(0.023126199851403056),fitnesses,(33.54112263719301,1.3135578188976722,2355.0500974766674,)
	4519.0,1706.0,2292.0,0.169712,0.025693,153.0,140.0,102.0,31.0,fitness,(0.0559083716939251),fitnesses,(58.16730791604139,0.8558247379355397,1081.7183601471677,)
	1097.0,3864.0,1124.0,0.072979,0.0062,177.0,113.0,167.0,32.0,fitness,(0.3570467793369385),fitnesses,(355.1176518017196,0.5271572237520104,334.2444702301226,)
	752.0,1731.0,1354.0,0.072252,0.17125,31.0,146.0,185.0,33.0,fitness,(0.023708616057500635),fitnesses,(26.231652333563044,-0.1183074747706181,133.99615283562306,)
	1150.0,1141.0,1600.0,0.159612,0.244537,177.0,94.0,96.0,34.0,fitness,(0.027748769897082595),fitnesses,(27.919251852366244,0.8548787161056569,871.9269116340218,)
	3892.0,4006.0,3187.0,0.017708,0.154433,38.0,5.0,106.0,35.0,fitness,(0.03177713129837431),fitnesses,(29.384730127306526,0.6607345374412726,421.494420334494,)
	3037.0,4439.0,392.0,0.235207,0.245671,88.0,159.0,145.0,36.0,fitness,(0.005341591138282827),fitnesses,(12.020078406743567,-0.021824262644958223,646.0244642011158,)
