Surrogate,generation,0,mu,100,lambda,25
	2523.0,4604.0,4600.0,0.060208,0.207253,170.0,131.0,98.0,0.0,fitness,(-0.0006078818544619875),fitnesses,(3.9162442729338243,-0.07644724680979673,375.9653659297844,)
	3860.0,1252.0,2974.0,0.006884,0.124408,36.0,10.0,167.0,19.0,fitness,(0.06979863454171852),fitnesses,(53.545270889793606,1.8456135686888564,220.2772034963651,)
	147.0,4156.0,4211.0,0.169842,0.082124,40.0,70.0,6.0,20.0,fitness,(0.03473533927034443),fitnesses,(84.99718811092976,1.6216855624123057,6647.870446470838,)
	2871.0,57.0,2755.0,0.141567,0.221396,182.0,68.0,119.0,21.0,fitness,(0.020388497657116436),fitnesses,(21.444888853176284,0.7699036093418672,875.5427289478519,)
	1367.0,1246.0,948.0,0.035645,0.018219,104.0,188.0,145.0,22.0,fitness,(0.24959189031514825),fitnesses,(244.58020238601276,1.003024375052074,501.85558213852414,)
	962.0,3726.0,1909.0,0.114137,0.078922,155.0,120.0,198.0,23.0,fitness,(0.05028397198372161),fitnesses,(47.92810061073031,0.401520859394642,165.93372209551282,)
	217.0,1252.0,1786.0,0.034572,0.032877,196.0,109.0,109.0,24.0,fitness,(0.5201315724209375),fitnesses,(508.48988646638327,2.4065170084909,1242.3484130354725,)
	2399.0,2110.0,480.0,0.180215,0.20307,165.0,83.0,24.0,25.0,fitness,(0.01756072689427491),fitnesses,(8.651310316004196,0.8196245968115686,-71.31706101550286,)
	4972.0,326.0,3061.0,0.098872,0.075683,102.0,156.0,89.0,26.0,fitness,(0.038046991049313764),fitnesses,(43.03728484359043,0.9813906954408379,1480.4200748685046,)
	198.0,1436.0,254.0,0.052775,0.151524,23.0,177.0,169.0,27.0,fitness,(0.04320721574409628),fitnesses,(43.42367883468723,0.03351434461758229,55.16065367667745,)
	497.0,2998.0,2473.0,0.209859,0.199341,156.0,29.0,176.0,28.0,fitness,(0.06995298797415218),fitnesses,(57.184242944393915,1.4976367933635368,220.76229038770853,)
	970.0,1074.0,2022.0,0.235075,0.047206,160.0,50.0,74.0,29.0,fitness,(0.09555025009498107),fitnesses,(88.24050738425231,1.4964566513910678,765.4823803181908,)
	2100.0,897.0,4613.0,0.180761,0.158836,125.0,16.0,94.0,30.0,fitness,(0.04640428559131617),fitnesses,(34.5038769176282,1.8876783870632219,697.6375196944244,)
	1557.0,3367.0,4716.0,0.049167,0.016705,142.0,149.0,116.0,31.0,fitness,(0.10686072735037393),fitnesses,(109.08634674101647,0.5407096870986952,763.2716261629498,)
	2461.0,3053.0,504.0,0.205137,0.125019,139.0,185.0,10.0,32.0,fitness,(0.00031845005937182046),fitnesses,(5.05447308031473,0.023499637006585333,497.1019391008762,)
	1174.0,4176.0,2525.0,0.032914,0.003184,5.0,77.0,7.0,33.0,fitness,(0.15739890445187432),fitnesses,(160.20793595539362,0.39305896711661314,673.962117468542,)
