Surrogate,generation,0,mu,100,lambda,25
	1631.0,304.0,4266.0,0.183037,0.12243,192.0,118.0,24.0,0.0,fitness,(-0.0020926371945141145),fitnesses,(15.311635207642247,0.8064616420671976,2546.8888822828335,)
	2346.0,4646.0,997.0,0.18832,0.148756,63.0,81.0,131.0,14.0,fitness,(0.016737438233247626),fitnesses,(18.4117736827289,0.08148122491765766,248.9147698657851,)
	2719.0,2259.0,1654.0,0.066025,0.184739,45.0,65.0,113.0,15.0,fitness,(0.028280519579264845),fitnesses,(18.947208969326855,1.0547782080442973,121.4471470504984,)
	2208.0,112.0,4406.0,0.043584,0.194825,117.0,108.0,166.0,16.0,fitness,(0.05163122625236347),fitnesses,(46.59075952138255,1.0688846651495678,564.8379920514758,)
	2601.0,4546.0,940.0,0.036327,0.10783,152.0,172.0,87.0,17.0,fitness,(0.008102956552911761),fitnesses,(13.617579009635627,0.005841111405482241,557.3033570778688,)
	4336.0,4978.0,457.0,0.112758,0.177426,36.0,147.0,72.0,18.0,fitness,(0.008646182214107104),fitnesses,(15.044032907606276,0.1282469230760476,768.0319924259647,)
	1629.0,4580.0,242.0,0.017804,0.118633,10.0,59.0,16.0,19.0,fitness,(0.003963900810817101),fitnesses,(-1.1228102217241367,-0.04606587325835118,-554.7369765124749,)
	1695.0,1868.0,2836.0,0.152595,0.002209,155.0,73.0,72.0,20.0,fitness,(0.6296074971029819),fitnesses,(618.2412025074873,2.0306875209702024,894.0580614207377,)
	2176.0,1405.0,1633.0,0.207791,0.115062,152.0,127.0,51.0,21.0,fitness,(0.0014057344870600542),fitnesses,(-1.2503417280225775,0.8048572173853664,539.2495958771033,)
	2955.0,2822.0,1056.0,0.211669,0.079328,126.0,124.0,187.0,22.0,fitness,(0.02172829515941659),fitnesses,(21.17887119599247,0.7513792135445311,696.4368172021191,)
	3466.0,957.0,1695.0,0.069935,0.234481,197.0,75.0,146.0,23.0,fitness,(0.021082705407191468),fitnesses,(16.334900682655665,0.8271776134724879,352.39714101890746,)
	4465.0,2554.0,1926.0,0.213274,0.042718,160.0,5.0,82.0,24.0,fitness,(0.08833495847374463),fitnesses,(77.50960661382686,2.9381316496812953,1855.5964636895185,)
	4141.0,2930.0,3880.0,0.178838,0.110478,133.0,75.0,31.0,25.0,fitness,(0.041256270535763806),fitnesses,(20.416110796409612,0.9288018541335618,-1155.2141198018576,)
	328.0,4991.0,2294.0,0.040861,0.223618,71.0,77.0,123.0,26.0,fitness,(0.014710514790861193),fitnesses,(17.806021086865513,-0.04287893677595539,266.67169282447645,)
	247.0,3009.0,4903.0,0.126889,0.067965,59.0,58.0,120.0,27.0,fitness,(0.24137248899649993),fitnesses,(218.14582164716973,3.191513155761363,868.8464208283384,)
