generation,0,mu,100,lambda,25
	4209.0,3142.0,2953.0,0.234606,0.200318,52.0,188.0,196.0,0.0,fitness,(0.0128827002,),fitnesses,(13.0, 1.0, 1011.72998)
	3368.0,415.0,2514.0,0.168652,0.053983,110.0,196.0,86.0,51.0,fitness,(0.044627259520000004,),fitnesses,(55.0, 1.0, 2037.274048)
	2848.0,3860.0,671.0,0.18266,0.052402,89.0,99.0,179.0,52.0,fitness,(0.021985220030000002,),fitnesses,(26.0, 0.0, 401.4779970000001)
	2685.0,4362.0,4755.0,0.248666,0.132012,136.0,30.0,23.0,53.0,fitness,(0.12675093018,),fitnesses,(127.0, 2.0, 2024.9069819999997)
	2292.0,553.0,4339.0,0.00952,0.086825,161.0,45.0,66.0,54.0,fitness,(0.12548354979999998,),fitnesses,(125.0, 2.0, 1951.64502)
	2394.0,2836.0,2940.0,0.030086,0.150947,79.0,152.0,77.0,55.0,fitness,(0.013963160100000002,),fitnesses,(18.0, 0.0, 403.68399)
	4504.0,1032.0,3581.0,0.117107,0.242172,127.0,145.0,159.0,56.0,fitness,(0.018117000120000004,),fitnesses,(17.0, 1.0, 888.299988)
	2947.0,672.0,2840.0,0.187585,0.221549,96.0,83.0,185.0,57.0,fitness,(0.02665471985,),fitnesses,(22.0, 1.0, 534.528015)
	3864.0,2177.0,1517.0,0.166659,0.216528,140.0,72.0,46.0,58.0,fitness,(0.02137065002,),fitnesses,(15.0, 1.0, 362.934998)
	1804.0,4896.0,2029.0,0.170323,0.159983,94.0,100.0,7.0,59.0,fitness,(0.010267940060000001,),fitnesses,(13.0, 0.0, 273.205994)
	4294.0,556.0,2135.0,0.170857,0.192272,138.0,2.0,155.0,60.0,fitness,(0.03833163002,),fitnesses,(39.0, 0.0, 66.836998)
	4001.0,2218.0,4338.0,0.180514,0.239283,83.0,68.0,54.0,61.0,fitness,(0.02026380005,),fitnesses,(14.0, 1.0, 373.619995)
	4066.0,1906.0,3891.0,0.185196,0.224572,63.0,181.0,72.0,62.0,fitness,(0.014763510130000001,),fitnesses,(15.0, 1.0, 1023.6489869999999)
	3510.0,2984.0,3938.0,0.019968,0.126778,14.0,138.0,163.0,63.0,fitness,(0.023829379879999998,),fitnesses,(19.0, 1.0, 517.062012)
	4381.0,471.0,2437.0,0.02571,0.181879,162.0,129.0,136.0,64.0,fitness,(0.03134349976,),fitnesses,(27.0, 1.0, 565.650024)
	4449.0,4948.0,1078.0,0.100335,0.191775,126.0,82.0,20.0,65.0,fitness,(0.00553785004,),fitnesses,(10.0, 0.0, 446.214996)
	3925.0,3484.0,2675.0,0.04175,0.007701,111.0,139.0,107.0,66.0,fitness,(0.07664276978,),fitnesses,(73.0, 1.0, 635.723022)
	2196.0,2611.0,3959.0,0.172183,0.1825,3.0,27.0,34.0,67.0,fitness,(0.016880380020000002,),fitnesses,(18.0, 0.0, 111.961998)
	1222.0,564.0,856.0,0.129608,0.077454,62.0,70.0,108.0,68.0,fitness,(0.06557014008,),fitnesses,(57.0, 1.0, 142.985992)
	779.0,1766.0,1349.0,0.199976,0.217349,2.0,71.0,83.0,69.0,fitness,(0.02295705002,),fitnesses,(24.0, 0.0, 104.29499800000002)
	4998.0,3189.0,528.0,0.230294,0.092799,11.0,145.0,117.0,70.0,fitness,(0.018473319700000004,),fitnesses,(18.0, 1.0, 952.66803)
	4243.0,3367.0,2881.0,0.211893,0.198752,51.0,36.0,73.0,71.0,fitness,(0.02268285004,),fitnesses,(15.0, 1.0, 231.714996)
	2514.0,2234.0,1065.0,0.108025,0.150552,146.0,37.0,107.0,72.0,fitness,(0.031585850070000004,),fitnesses,(23.0, 1.0, 141.414993)
	1342.0,1757.0,2532.0,0.220792,0.211578,114.0,174.0,101.0,73.0,fitness,(0.01301532013,),fitnesses,(17.0, 0.0, 398.467987)
	2576.0,3559.0,315.0,0.232832,0.065915,190.0,78.0,84.0,74.0,fitness,(0.020872290039999998,),fitnesses,(24.0, 0.0, 312.770996)
	3542.0,944.0,2452.0,0.061729,0.138493,56.0,123.0,89.0,75.0,fitness,(0.03373366028,),fitnesses,(29.0, 1.0, 526.633972)
	2015.0,2905.0,985.0,0.222389,0.051307,26.0,124.0,105.0,76.0,fitness,(0.0210292099,),fitnesses,(25.0, 0.0, 397.07901000000004)
	2400.0,4892.0,1869.0,0.14549,0.037563,24.0,90.0,132.0,77.0,fitness,(0.01874052002,),fitnesses,(22.0, 0.0, 325.947998)
	2520.0,2219.0,1261.0,0.018345,0.082912,136.0,28.0,119.0,78.0,fitness,(0.10748022003,),fitnesses,(92.0, 2.0, 451.977997)
	3659.0,1067.0,4836.0,0.006298,0.214336,112.0,187.0,37.0,79.0,fitness,(0.023514010009999996,),fitnesses,(20.0, 1.0, 648.598999)
	3878.0,2679.0,4577.0,0.021854,0.089902,174.0,76.0,165.0,80.0,fitness,(0.03566059998,),fitnesses,(29.0, 1.0, 333.940002)
	958.0,1366.0,3562.0,0.155679,0.214666,19.0,49.0,114.0,81.0,fitness,(0.09007716002999999,),fitnesses,(61.0, 3.0, 92.283997)
	1389.0,2796.0,1267.0,0.142616,0.128484,138.0,67.0,12.0,82.0,fitness,(0.03043658997,),fitnesses,(32.0, 0.0, 156.341003)
	1751.0,1740.0,1618.0,0.153633,0.025645,54.0,18.0,63.0,83.0,fitness,(1.01031463989,),fitnesses,(1000.0, 2.0, 968.536011)
