Surrogate,generation,0,mu,100,lambda,25
	1358.0,4244.0,277.0,0.056826,0.201615,191.0,180.0,19.0,0.0,fitness,(-0.01327258402929231),fitnesses,(-8.479242436469535,-0.3111150796247218,168.21907965755568,)
	1513.0,3834.0,479.0,0.231401,0.190394,194.0,158.0,66.0,17.0,fitness,(-0.0015738788230362992),fitnesses,(3.6536053225489953,-0.12410808413179657,398.6403304267328,)
	4236.0,909.0,2786.0,0.081455,0.119858,40.0,97.0,42.0,18.0,fitness,(0.03578016082260218),fitnesses,(32.57667508473662,0.8739334705519048,553.5848967653487,)
	3911.0,1115.0,4500.0,0.161396,0.101189,127.0,173.0,34.0,19.0,fitness,(0.009602729442253204),fitnesses,(22.828142273469677,0.9225902233227121,2245.1315064443593,)
	1969.0,4237.0,4668.0,0.215454,0.218658,103.0,74.0,190.0,20.0,fitness,(0.003030988992430871),fitnesses,(7.299550964770114,-0.028105680909645245,398.75051632427903,)
	3188.0,3186.0,3299.0,0.190437,0.224932,103.0,166.0,163.0,21.0,fitness,(0.005168922408754699),fitnesses,(8.621538613989228,0.27353321511790596,618.7948356413589,)
	1527.0,3347.0,868.0,0.199906,0.203656,98.0,186.0,110.0,22.0,fitness,(0.009591187035634035),fitnesses,(15.863376635183352,-0.23085708740275668,396.3618725521751,)
	1140.0,4300.0,2351.0,0.198234,0.208964,104.0,104.0,85.0,23.0,fitness,(0.007605732100779468),fitnesses,(11.791448489893604,-0.13085451915173318,287.71711975968054,)
	1942.0,2611.0,570.0,0.034643,0.101319,15.0,25.0,52.0,24.0,fitness,(0.04064441471569912),fitnesses,(30.655507353818134,0.8498883675381935,-149.00236864990526,)
	4154.0,4163.0,1690.0,0.040519,0.140411,68.0,136.0,8.0,25.0,fitness,(0.009378627271347396),fitnesses,(7.643205367401197,0.522317493347041,348.775302952421,)
	3503.0,2198.0,1740.0,0.102515,0.131842,60.0,51.0,185.0,26.0,fitness,(0.038622091892577766),fitnesses,(30.04464122942724,1.021682430763145,163.9373644480917,)
	2181.0,4314.0,2610.0,0.070906,0.105616,73.0,19.0,146.0,27.0,fitness,(0.049716071318971995),fitnesses,(42.758570586477624,0.9133291752376399,217.57910198820326,)
	4041.0,3454.0,654.0,0.109663,0.183203,177.0,49.0,96.0,28.0,fitness,(0.01552873088814488),fitnesses,(7.380474414815629,0.8959000852323897,81.07443789946446,)
	1966.0,1591.0,4242.0,0.229957,0.103675,10.0,163.0,62.0,29.0,fitness,(0.01369873487660613),fitnesses,(19.337969980450406,0.48001103478763557,1043.9345451720633,)
	1466.0,4812.0,739.0,0.035585,0.011199,80.0,90.0,177.0,30.0,fitness,(0.03359249980545515),fitnesses,(36.713775588245525,-0.04012741087917329,272.00016739986415,)
	1686.0,1288.0,917.0,0.025083,0.078322,146.0,162.0,125.0,31.0,fitness,(0.07078793752706054),fitnesses,(66.24318017581206,0.6883142348103752,233.83849968552656,)
	2969.0,2591.0,2643.0,0.07314,0.063128,174.0,144.0,164.0,32.0,fitness,(0.026225856196837656),fitnesses,(21.632283653293644,0.873825397555667,414.46814320126595,)
