Surrogate,generation,0,mu,100,lambda,25
	1975.0,3456.0,4796.0,0.172967,0.172325,45.0,124.0,43.0,0.0,fitness,(-0.005458310619129579),fitnesses,(-5.594086468394517,-0.14771524219513282,-161.29282712162652,)
	4260.0,3275.0,2960.0,0.019563,0.216132,47.0,184.0,69.0,26.0,fitness,(0.019769131418491962),fitnesses,(15.689798055931858,1.1223898560837318,714.4565198277213,)
	1402.0,2319.0,1767.0,0.018815,0.23849,12.0,111.0,56.0,27.0,fitness,(0.018584783118571254),fitnesses,(21.359591770141183,-0.07022948791173088,207.25137724526218,)
	2606.0,119.0,2075.0,0.145423,0.010496,19.0,24.0,143.0,28.0,fitness,(0.06897254889405402),fitnesses,(59.649597923693385,1.0696112235887831,137.31612655271908,)
	2167.0,4514.0,1116.0,0.214667,0.019068,41.0,141.0,62.0,29.0,fitness,(-0.008828249595795328),fitnesses,(-1.369426265355677,-0.29829611334138706,447.586219702578,)
	3202.0,2996.0,2523.0,0.055154,0.237576,26.0,122.0,63.0,30.0,fitness,(0.016447366745436256),fitnesses,(14.500159141308462,0.5303568980782133,335.6361376654337,)
	1541.0,756.0,1247.0,0.15466,0.13258,101.0,20.0,76.0,31.0,fitness,(0.10977430342098844),fitnesses,(95.08595453804733,1.6318041745700562,162.96928627594548,)
	3093.0,2284.0,4968.0,0.192808,0.096698,67.0,4.0,150.0,32.0,fitness,(0.07700233265281207),fitnesses,(64.19195008200846,1.5399110910693221,258.87283398896096,)
	1877.0,4151.0,3862.0,0.224633,0.010559,68.0,135.0,149.0,33.0,fitness,(0.07142330366044156),fitnesses,(75.50729165830872,0.16791384151432193,576.3126413010386,)
	3631.0,3783.0,754.0,0.064633,0.217051,25.0,73.0,78.0,34.0,fitness,(0.015582744028061061),fitnesses,(16.905712505898048,0.05365071784300964,185.94756562670833,)
	4435.0,4379.0,1420.0,0.103594,0.156958,58.0,40.0,112.0,35.0,fitness,(0.031178528366349267),fitnesses,(27.492884986073303,0.5707224994338623,202.15816140626643,)
	541.0,2529.0,4771.0,0.027113,0.171453,31.0,70.0,39.0,36.0,fitness,(0.00711512500827266),fitnesses,(31.55218219938108,0.11942582491353688,2563.1315440243784,)
	905.0,4625.0,243.0,0.248615,0.086677,181.0,82.0,192.0,37.0,fitness,(0.012806975213584846),fitnesses,(16.830238128159117,-0.20440221404805112,197.92407740937568,)
	3567.0,1653.0,1800.0,0.118922,0.125342,116.0,197.0,123.0,38.0,fitness,(0.026190686022788907),fitnesses,(26.08443843982355,0.8427713023752516,832.1465440787156,)
	2680.0,453.0,2911.0,0.215414,0.176042,74.0,105.0,40.0,39.0,fitness,(0.034119762556168484),fitnesses,(29.913960058111872,0.9927027453193188,572.1224955136581,)
	2303.0,878.0,1979.0,0.148058,0.083183,146.0,47.0,97.0,40.0,fitness,(0.10295773605422123),fitnesses,(88.2051699775837,1.63401044666109,158.7538389973363,)
	1355.0,782.0,3593.0,0.083842,0.016186,31.0,128.0,35.0,41.0,fitness,(0.2468865148698519),fitnesses,(238.43224081126118,2.235080024389361,1389.652618530292,)
	2202.0,2238.0,2004.0,0.230064,0.020368,19.0,134.0,11.0,42.0,fitness,(0.05926506731184676),fitnesses,(72.05098187684716,0.009599943559466265,1288.191400059506,)
	3046.0,685.0,2757.0,0.206418,0.076002,137.0,150.0,70.0,43.0,fitness,(0.0317021987375677),fitnesses,(35.78116226815966,1.0367427287228832,1444.6390817820788,)
	1273.0,27.0,889.0,0.076121,0.089695,131.0,41.0,112.0,44.0,fitness,(0.22901707885838876),fitnesses,(210.24123483240214,2.1820100208519655,304.42561825330364,)
	446.0,1922.0,3775.0,0.211486,0.203222,96.0,196.0,125.0,45.0,fitness,(0.027903618656792924),fitnesses,(34.80366285789006,0.02960903315568596,719.6134532653995,)
	4208.0,3378.0,2117.0,0.026645,0.163752,0.0,31.0,28.0,46.0,fitness,(0.02917569169915623),fitnesses,(18.1572344903557,1.1922875310417815,90.44181016172875,)
	2182.0,886.0,4955.0,0.069297,0.129738,24.0,173.0,185.0,47.0,fitness,(0.04052901253043709),fitnesses,(37.39269774614036,0.8917330727866537,578.1015943569804,)
	3691.0,192.0,1537.0,0.074807,0.170787,154.0,38.0,107.0,48.0,fitness,(0.045570161859384804),fitnesses,(36.64737178266355,1.3823947330054,490.11572533327455,)
	2455.0,2347.0,3519.0,0.23498,0.232181,31.0,79.0,189.0,49.0,fitness,(0.01807500526713171),fitnesses,(15.45266024666907,0.5803219285158849,318.0874264696208,)
	2658.0,3826.0,2633.0,0.038046,0.003972,146.0,140.0,91.0,50.0,fitness,(0.061751028623733266),fitnesses,(67.3778349097332,-0.10417705834775898,458.50357025223553,)
	239.0,4670.0,3358.0,0.158715,0.22269,120.0,173.0,185.0,51.0,fitness,(0.011485566323808464),fitnesses,(14.338521244495224,0.027462904913953545,312.75839698262956,)
	3212.0,2620.0,4720.0,0.061092,0.215327,89.0,141.0,43.0,52.0,fitness,(0.01148769002203778),fitnesses,(5.3652563876131065,0.7637579217759266,151.51455833345938,)
