Surrogate,generation,0,mu,100,lambda,25
	4148.0,1916.0,4000.0,0.041391,0.137216,149.0,150.0,16.0,0.0,fitness,(-0.004496572224377526),fitnesses,(-0.06181691972788942,0.8855689861035161,1329.0445165684798,)
	3515.0,3382.0,4936.0,0.053748,0.180006,136.0,92.0,183.0,17.0,fitness,(0.010889526538157966),fitnesses,(11.914004639781302,0.44639070323813984,548.8385134004732,)
	1915.0,1570.0,2966.0,0.186481,0.121821,49.0,55.0,192.0,18.0,fitness,(0.06519579762303634),fitnesses,(61.493189577935375,0.5572782337770221,187.01742926692467,)
	2048.0,544.0,3073.0,0.000316,0.233952,157.0,187.0,89.0,19.0,fitness,(0.013958488538585797),fitnesses,(13.48867812187118,0.8827532334403951,835.7721917689333,)
	2326.0,3899.0,4483.0,0.034823,0.144468,156.0,89.0,38.0,20.0,fitness,(-0.02166218455568111),fitnesses,(-4.925396318135689,-0.09371817898323444,1579.9606447713074,)
	4782.0,4239.0,1452.0,0.213518,0.0164,6.0,29.0,36.0,21.0,fitness,(0.054214297566689384),fitnesses,(50.50068275732487,0.8915097559936139,520.1482750571624,)
	2351.0,4025.0,2561.0,0.228806,0.116168,190.0,10.0,190.0,22.0,fitness,(0.0687224301983002),fitnesses,(66.11402310836147,0.8788476685706181,618.0069595767442,)
	865.0,2660.0,2108.0,0.019576,0.191169,104.0,174.0,146.0,23.0,fitness,(0.03221532910680121),fitnesses,(33.17302303900743,0.17157144333436675,267.3408365549888,)
	1450.0,503.0,4204.0,0.213153,0.098217,130.0,190.0,110.0,24.0,fitness,(0.05010866331479455),fitnesses,(52.181760087098354,0.6698746405504271,877.1843177808071,)
	2301.0,1414.0,2855.0,0.241793,0.067772,164.0,161.0,198.0,25.0,fitness,(0.039299544027316044),fitnesses,(38.04161299282455,0.6312583301034497,505.4652266543003,)
	4159.0,561.0,1569.0,0.247706,0.092083,44.0,2.0,76.0,26.0,fitness,(0.054095666858084736),fitnesses,(36.61352096778947,2.329508707274538,581.2941182450118,)
	3265.0,232.0,1571.0,0.239957,0.150378,185.0,190.0,187.0,27.0,fitness,(0.04609289197718921),fitnesses,(41.21153181885058,0.9745602187282388,486.42420289437615,)
	4005.0,3749.0,1012.0,0.120038,0.232455,134.0,45.0,165.0,28.0,fitness,(0.024224602632086062),fitnesses,(18.940416130572828,0.7104933685442455,182.07471839292234,)
	1098.0,3328.0,2296.0,0.108377,0.007767,171.0,136.0,38.0,29.0,fitness,(0.3335952919599259),fitnesses,(338.86298304540003,1.0464482111080107,1573.217319655425,)
	2117.0,3590.0,1196.0,0.015514,0.158981,159.0,25.0,72.0,30.0,fitness,(-0.013998076972633663),fitnesses,(-6.497894068654916,0.4392982343276495,1189.316524725524,)
	800.0,2867.0,866.0,0.24983,0.172786,46.0,59.0,155.0,31.0,fitness,(0.028901554627357433),fitnesses,(28.835120034287538,0.10909003068458388,102.44657137759432,)
	1683.0,3688.0,277.0,0.101042,0.22697,173.0,10.0,135.0,32.0,fitness,(0.01612763035327269),fitnesses,(18.59969596119234,0.33848886819444274,585.6954289864077,)
	4335.0,967.0,3255.0,0.084279,0.099769,155.0,44.0,92.0,33.0,fitness,(0.06679525901249247),fitnesses,(67.17525952209253,1.2276658852822018,1265.6659362422083,)
