generation,0,mu,100,lambda,25
	1245.0,1300.0,1467.0,0.105514,0.118543,46.0,147.0,79.0,0.0,fitness,(-0.00268502014,),fitnesses,(0.0, 0.0, 268.502014)
	673.0,2513.0,1397.0,0.032176,0.1352,63.0,136.0,164.0,35.0,fitness,(-0.0013278999300000002,),fitnesses,(0.0, 0.0, 132.789993)
	443.0,3661.0,2065.0,0.099261,0.108323,47.0,67.0,99.0,36.0,fitness,(-0.0009683300000000001,),fitnesses,(0.0, 0.0, 96.833)
	3456.0,1067.0,4217.0,0.165727,0.073917,21.0,162.0,113.0,37.0,fitness,(-0.0009018005400000008,),fitnesses,(0.0, 1.0, 1090.180054)
	1290.0,4672.0,555.0,0.113129,0.135254,100.0,198.0,70.0,38.0,fitness,(-0.0034489001500000002,),fitnesses,(0.0, 0.0, 344.890015)
	2446.0,851.0,1904.0,0.048647,0.10456,180.0,89.0,157.0,39.0,fitness,(0.00741532013,),fitnesses,(0.0, 1.0, 258.467987)
	881.0,4811.0,1053.0,0.13423,0.086675,34.0,51.0,133.0,40.0,fitness,(-0.0013467799400000001,),fitnesses,(0.0, 0.0, 134.677994)
	1721.0,4865.0,731.0,0.173261,0.062231,88.0,45.0,188.0,41.0,fitness,(-0.0017096899400000003,),fitnesses,(0.0, 0.0, 170.968994)
	4671.0,3473.0,3364.0,0.222247,0.044892,131.0,163.0,139.0,42.0,fitness,(-0.0016475903300000004,),fitnesses,(0.0, 1.0, 1164.759033)
	364.0,4527.0,2122.0,0.177905,0.211905,48.0,95.0,190.0,43.0,fitness,(-0.00116806999,),fitnesses,(0.0, 0.0, 116.80699899999999)
	3273.0,3069.0,2759.0,0.112144,0.13522,66.0,130.0,189.0,44.0,fitness,(0.00471505981,),fitnesses,(0.0, 1.0, 528.494019)
	4568.0,4282.0,865.0,0.107624,0.111411,177.0,199.0,36.0,45.0,fitness,(-0.00015494995000000025,),fitnesses,(0.0, 1.0, 1015.494995)
	4559.0,1448.0,2721.0,0.10944,0.149775,140.0,163.0,175.0,46.0,fitness,(0.00016552001999999878,),fitnesses,(0.0, 1.0, 983.4479980000001)
	2773.0,4924.0,4129.0,0.185688,0.210879,73.0,63.0,173.0,47.0,fitness,(-0.0026684500100000006,),fitnesses,(0.0, 0.0, 266.845001)
	2216.0,101.0,4957.0,0.188439,0.199285,153.0,35.0,92.0,48.0,fitness,(0.0029927697799999996,),fitnesses,(0.0, 1.0, 700.723022)
	65.0,2794.0,3142.0,0.013014,0.202272,184.0,188.0,183.0,49.0,fitness,(-0.00059929001,),fitnesses,(0.0, 0.0, 59.92900099999999)
	1641.0,1366.0,74.0,0.14652,0.155948,174.0,48.0,168.0,50.0,fitness,(0.008818050000000001,),fitnesses,(0.0, 1.0, 118.195)
	4224.0,3719.0,2521.0,0.215928,0.044649,169.0,16.0,41.0,51.0,fitness,(0.043899030760000006,),fitnesses,(0.0, 7.000000000000001, 2610.096924)
	3708.0,2138.0,1406.0,0.190688,0.031316,27.0,1.0,169.0,52.0,fitness,(0.019830320000000002,),fitnesses,(0.0, 2.0, 16.968)
	4184.0,3938.0,4417.0,0.167151,0.200998,87.0,16.0,113.0,53.0,fitness,(0.00862602005,),fitnesses,(0.0, 1.0, 137.397995)
	3922.0,3762.0,2352.0,0.091553,0.006159,131.0,134.0,50.0,54.0,fitness,(0.0032186798099999997,),fitnesses,(0.0, 1.0, 678.132019)
	186.0,3024.0,2628.0,0.034425,0.083734,196.0,104.0,197.0,55.0,fitness,(-0.0007343199900000002,),fitnesses,(0.0, 0.0, 73.431999)
	3581.0,4967.0,1548.0,0.203455,0.153532,45.0,78.0,42.0,56.0,fitness,(-0.00383904999,),fitnesses,(0.0, 0.0, 383.904999)
	2535.0,2186.0,3126.0,0.108339,0.023074,139.0,40.0,88.0,57.0,fitness,(0.019966350099999995,),fitnesses,(0.0, 3.0, 1003.3649900000001)
