generation,0,mu,100,lambda,25
	6.0,4857.0,3333.0,1.2e-05,0.045946,89.0,56.0,0.0,36.0,fitness,(-0.0009040200000000001,),fitnesses,(0.0, 0.0, 90.402)
	434.0,2130.0,3095.0,0.09371,0.171366,129.0,15.0,54.0,37.0,fitness,(-0.054188808590000005,),fitnesses,(0.0, 1.0, 6418.880859)
	1975.0,1568.0,2998.0,0.133843,0.065521,93.0,198.0,186.0,38.0,fitness,(0.002188170169999999,),fitnesses,(0.0, 1.0, 781.182983)
	3188.0,1869.0,3282.0,0.102254,0.06985,52.0,95.0,0.0,39.0,fitness,(0.00517794006,),fitnesses,(0.0, 1.0, 482.2059939999999)
	676.0,3228.0,722.0,0.011084,0.08991,12.0,151.0,67.0,40.0,fitness,(-0.0015236399800000002,),fitnesses,(0.0, 0.0, 152.363998)
	2881.0,2061.0,4123.0,0.139198,0.11539,68.0,66.0,118.0,41.0,fitness,(0.00709145996,),fitnesses,(0.0, 1.0, 290.854004)
	74.0,3473.0,1062.0,0.008403,0.220069,107.0,155.0,153.0,42.0,fitness,(-0.0007112500000000001,),fitnesses,(0.0, 0.0, 71.125)
	1868.0,749.0,4687.0,0.024914,0.134008,37.0,135.0,94.0,43.0,fitness,(0.00720069,),fitnesses,(0.0, 1.0, 279.931)
	4101.0,586.0,3625.0,0.157958,0.075333,4.0,72.0,82.0,44.0,fitness,(0.00634117004,),fitnesses,(0.0, 1.0, 365.882996)
	1476.0,1151.0,394.0,0.001225,0.166277,69.0,181.0,57.0,45.0,fitness,(0.007550970000000001,),fitnesses,(0.0, 1.0, 244.903)
	1275.0,2455.0,4181.0,0.140078,0.230126,150.0,37.0,41.0,46.0,fitness,(-0.12275490234000001,),fitnesses,(0.0, 1.0, 13275.490233999999)
	2671.0,2737.0,3768.0,0.014408,0.182294,110.0,83.0,117.0,47.0,fitness,(-0.0025559300200000004,),fitnesses,(0.0, 0.0, 255.593002)
	4516.0,4195.0,2702.0,0.153623,0.164115,34.0,59.0,12.0,48.0,fitness,(0.00644210999,),fitnesses,(0.0, 1.0, 355.789001)
	45.0,2896.0,4451.0,0.125821,0.019775,164.0,172.0,42.0,49.0,fitness,(-0.04751275879,),fitnesses,(0.0, 2.0, 6751.275879)
	2028.0,316.0,1144.0,0.060124,0.115923,80.0,164.0,162.0,50.0,fitness,(0.0057345098899999995,),fitnesses,(0.0, 1.0, 426.549011)
	1432.0,1286.0,1412.0,0.081559,0.176645,163.0,146.0,193.0,51.0,fitness,(0.007421579899999999,),fitnesses,(0.0, 1.0, 257.84201)
	3325.0,2532.0,676.0,0.044071,0.091571,50.0,104.0,39.0,52.0,fitness,(0.00615604004,),fitnesses,(0.0, 1.0, 384.395996)
	3791.0,3676.0,1606.0,0.156562,0.186786,133.0,13.0,83.0,53.0,fitness,(0.00885181,),fitnesses,(0.0, 1.0, 114.819)
	1964.0,2840.0,494.0,0.042333,0.129214,103.0,34.0,11.0,54.0,fitness,(-0.0011373799900000002,),fitnesses,(0.0, 0.0, 113.737999)
	1505.0,946.0,2726.0,0.098255,0.078285,72.0,139.0,97.0,55.0,fitness,(0.00578601013,),fitnesses,(0.0, 1.0, 421.39898700000003)
	4237.0,2017.0,979.0,0.138938,0.234054,91.0,80.0,103.0,56.0,fitness,(0.0057631698599999994,),fitnesses,(0.0, 1.0, 423.683014)
	3085.0,698.0,3428.0,0.133536,0.0852,132.0,142.0,88.0,57.0,fitness,(-0.0023945898400000026,),fitnesses,(0.0, 1.0, 1239.458984)
	3878.0,3852.0,1827.0,0.23223,0.020395,97.0,53.0,178.0,58.0,fitness,(0.006510809939999999,),fitnesses,(0.0, 1.0, 348.919006)
	3781.0,4560.0,726.0,0.080197,0.121655,175.0,55.0,62.0,59.0,fitness,(-0.0028726199300000005,),fitnesses,(0.0, 0.0, 287.261993)
	1938.0,4591.0,3718.0,0.196456,0.087758,24.0,56.0,193.0,60.0,fitness,(-0.00205134995,),fitnesses,(0.0, 0.0, 205.134995)
	224.0,3527.0,3124.0,0.127479,0.082482,170.0,78.0,90.0,61.0,fitness,(0.00944572021,),fitnesses,(0.0, 2.0, 1055.427979)
	3083.0,4380.0,515.0,0.239788,0.239009,120.0,89.0,24.0,62.0,fitness,(-0.0036714001500000003,),fitnesses,(0.0, 0.0, 367.140015)
	2268.0,3691.0,1603.0,0.068792,0.136693,191.0,64.0,136.0,63.0,fitness,(-0.00208878998,),fitnesses,(0.0, 0.0, 208.878998)
	1141.0,1054.0,1666.0,0.116491,0.093861,111.0,144.0,105.0,64.0,fitness,(0.00700328003,),fitnesses,(0.0, 1.0, 299.671997)
	2396.0,4144.0,1998.0,0.22529,0.219254,59.0,69.0,22.0,65.0,fitness,(-0.0025337199400000004,),fitnesses,(0.0, 0.0, 253.37199400000003)
	1668.0,2590.0,52.0,0.112198,0.197502,91.0,45.0,54.0,66.0,fitness,(-0.00123014,),fitnesses,(0.0, 0.0, 123.014)
	4835.0,3746.0,4270.0,0.000377,0.125578,176.0,122.0,107.0,67.0,fitness,(0.00381109009,),fitnesses,(0.0, 1.0, 618.890991)
