Surrogate,generation,0,mu,100,lambda,25
	2381.0,3263.0,2130.0,0.156981,0.056976,129.0,172.0,89.0,0.0,fitness,(-0.0059547745884348385),fitnesses,(0.0,-0.07038592142053389,525.09153742295,)
	756.0,4117.0,7.0,0.196406,0.232227,55.0,108.0,27.0,37.0,fitness,(-0.002327872637936346),fitnesses,(0.0,0.05095745472087595,283.74471851451057,)
	1300.0,1740.0,1274.0,0.11308,0.160932,42.0,154.0,133.0,38.0,fitness,(-0.002791631044608525),fitnesses,(0.0,0.03763781352754848,316.80091798840095,)
	622.0,2795.0,840.0,0.01712,0.222009,81.0,106.0,43.0,39.0,fitness,(-0.005178880502907992),fitnesses,(0.0,-0.12051762775818259,397.37042253261654,)
	1582.0,4877.0,413.0,0.017562,0.060458,79.0,142.0,99.0,40.0,fitness,(-0.0010303763398592342),fitnesses,(0.0,0.1305677520802146,233.60538606613798,)
	340.0,3334.0,4143.0,0.205105,0.176427,186.0,52.0,105.0,41.0,fitness,(-0.006610064416600459),fitnesses,(0.0,0.5657305912942909,1226.7370329543367,)
	3075.0,2594.0,1657.0,0.087713,0.20834,171.0,38.0,189.0,42.0,fitness,(0.009772972928434513),fitnesses,(0.0,1.2149541281874443,237.65683534399312,)
	4311.0,765.0,4832.0,0.044977,0.0599,120.0,195.0,92.0,43.0,fitness,(-0.005402049300845568),fitnesses,(0.0,0.9013348328024284,1441.539762886985,)
	3200.0,1506.0,587.0,0.050369,0.046004,56.0,103.0,54.0,44.0,fitness,(0.009454321655749312),fitnesses,(0.0,0.9818665742401126,36.43440866518141,)
	4421.0,4583.0,3947.0,0.167849,0.020387,100.0,141.0,110.0,45.0,fitness,(-0.004557209400433214),fitnesses,(0.0,0.25279078021010015,708.5117202534215,)
	3364.0,880.0,482.0,0.076788,0.128757,10.0,24.0,24.0,46.0,fitness,(0.011765545988170076),fitnesses,(0.0,1.5506471922478027,374.0925934307952,)
	1612.0,1166.0,4544.0,0.226644,0.124648,63.0,81.0,30.0,47.0,fitness,(0.007240687726912571),fitnesses,(0.0,0.8227768984643816,98.70812577312451,)
	212.0,2256.0,2820.0,0.229805,0.075904,121.0,23.0,72.0,48.0,fitness,(1.0394041326525623),fitnesses,(1.0,3.8397965237985434,-100.61674145768863,)
	3605.0,2574.0,744.0,0.111112,0.097383,18.0,133.0,89.0,49.0,fitness,(0.004115334941798102),fitnesses,(0.0,1.150938841127371,739.4053469475609,)
