gen	nevals	avg      	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
51 	25    	1.02417  	0.0375996 	0.986418   	1.1886 	1    	0       	1    	1    	4.37 	4.39694 	1    	19   	1952.64	1834.6 	140.057	8667.04
52 	25    	1.02479  	0.037124  	0.988812   	1.1886 	1    	0       	1    	1    	4.39 	4.38382 	1    	19   	1910.84	1840.18	140.057	8667.04
53 	25    	1.02838  	0.0391417 	0.991933   	1.1886 	1    	0       	1    	1    	4.78 	4.56197 	1    	19   	1941.95	1910.15	140.057	8667.04
54 	25    	1.02852  	0.0390367 	0.992126   	1.1886 	1    	0       	1    	1    	4.78 	4.56197 	1    	19   	1928.07	1916.11	140.057	8667.04
55 	25    	1.03211  	0.0420913 	0.993366   	1.1886 	1    	0       	1    	1    	5.19 	4.98737 	1    	22   	1979.24	1967.88	140.057	8667.04
56 	25    	1.03544  	0.0435967 	0.995492   	1.1886 	1    	0       	1    	1    	5.62 	5.16484 	1    	22   	2075.71	2078.33	140.057	8667.04
57 	25    	1.04007  	0.0460927 	0.998936   	1.1886 	1    	0       	1    	1    	6.12 	5.51594 	1    	22   	2113.08	2065.96	140.057	8667.04
58 	25    	1.04116  	0.0457709 	0.999337   	1.1886 	1    	0       	1    	1    	6.21 	5.48871 	1    	22   	2093.85	2072.45	140.057	8667.04
59 	25    	1.04598  	0.0472295 	1.0012     	1.1886 	1    	0       	1    	1    	6.76 	5.69933 	1    	22   	2161.64	2130.86	140.057	8667.04
60 	25    	1.04718  	0.0468661 	1.00359    	1.1886 	1    	0       	1    	1    	6.9  	5.6701  	1    	22   	2181.61	2138.28	140.057	8667.04
61 	25    	1.05046  	0.0472921 	1.00567    	1.1886 	1    	0       	1    	1    	7.33 	5.68692 	1    	22   	2283.55	2146.77	140.057	8667.04
62 	25    	1.05629  	0.0475252 	1.00706    	1.1886 	1    	0       	1    	1    	7.99 	5.75586 	1    	22   	2360.99	2182.31	140.057	8667.04
63 	25    	1.0572   	0.0469201 	1.00791    	1.1886 	1    	0       	1    	1    	8.19 	5.65808 	2    	22   	2470.38	2271.46	140.057	8667.04
64 	25    	1.05851  	0.0467808 	1.00877    	1.1886 	1    	0       	1    	1    	8.33 	5.63392 	2    	22   	2478.95	2272.17	140.057	8667.04
65 	25    	1.06206  	0.0474741 	1.00981    	1.1886 	1    	0       	1    	1    	8.79 	5.76072 	2    	22   	2584.25	2301.64	140.057	8667.04
66 	25    	1.06547  	0.0488628 	1.00998    	1.20473	1    	0       	1    	1    	9.14 	5.8941  	2    	25   	2593.22	2318.76	140.057	8667.04
67 	25    	1.06725  	0.0479326 	1.01113    	1.20473	1    	0       	1    	1    	9.22 	5.86444 	2    	25   	2495.38	2247.1 	140.057	8667.04
68 	25    	1.06961  	0.0486353 	1.01175    	1.20473	1    	0       	1    	1    	9.49 	5.93211 	2    	25   	2528.85	2254.24	140.057	8667.04
69 	25    	1.07361  	0.0480417 	1.01334    	1.20473	1    	0       	1    	1    	9.9  	6.01082 	2    	25   	2539.26	2268.72	140.057	8667.04
70 	25    	1.07577  	0.0485696 	1.01342    	1.20473	1    	0       	1    	1    	10.16	6.05098 	2    	25   	2582.86	2264.29	140.057	8667.04
71 	25    	1.07846  	0.0475735 	1.0144     	1.20473	1    	0       	1    	1    	10.59	5.91117 	2    	25   	2744.4 	2327.96	140.057	8817.7 
72 	25    	1.08011  	0.0461711 	1.02158    	1.20473	1    	0       	1    	1    	10.67	5.88567 	3    	25   	2659.14	2316.08	140.057	8817.7 
73 	25    	1.08278  	0.0465331 	1.02355    	1.20473	1    	0       	1    	1    	10.97	5.91178 	3    	25   	2691.7 	2316.73	140.057	8817.7 
74 	25    	1.08393  	0.0455998 	1.02786    	1.20473	1    	0       	1    	1    	11.12	5.81598 	4    	25   	2727.36	2258.04	140.057	8817.7 
75 	25    	1.08679  	0.0448939 	1.03257    	1.20473	1    	0       	1    	1    	11.55	5.69627 	4    	25   	2870.62	2300.15	140.057	8817.7 
76 	25    	1.08898  	0.0449725 	1.03283    	1.20473	1    	0       	1    	1    	11.82	5.71906 	4    	25   	2921.96	2324.42	140.057	8817.7 
77 	25    	1.09008  	0.0449306 	1.03333    	1.20473	1    	0       	1    	1    	11.97	5.70869 	4    	25   	2961.98	2320.56	140.057	8817.7 
78 	25    	1.09313  	0.0445361 	1.03409    	1.20473	1    	0       	1    	1    	12.3 	5.70175 	4    	25   	2986.9 	2253.82	140.057	8817.7 
79 	25    	1.09485  	0.0438534 	1.0355     	1.20473	1    	0       	1    	1    	12.48	5.6683  	4    	25   	2994.74	2263.9 	140.057	8817.7 
80 	25    	1.09736  	0.0443361 	1.03567    	1.20473	1    	0       	1    	1    	12.84	5.69688 	4    	25   	3104.48	2289.23	140.057	8817.7 
81 	25    	1.10172  	0.0431189 	1.04497    	1.20473	1    	0       	1    	1    	13.35	5.5306  	5    	25   	3177.95	2226.08	140.057	8817.7 
82 	25    	1.10421  	0.042371  	1.04734    	1.20473	1    	0       	1    	1    	13.58	5.53567 	5    	25   	3158.62	2230.72	140.057	8817.7 
83 	25    	1.10603  	0.0418524 	1.04856    	1.20473	1    	0       	1    	1    	13.88	5.52138 	6    	25   	3276.96	2277.51	140.057	8817.7 
84 	25    	1.10788  	0.0404779 	1.05182    	1.20473	1    	0       	1    	1    	13.98	5.43871 	6    	25   	3191.67	2291.57	140.057	8817.7 
85 	25    	1.10942  	0.0410734 	1.0526     	1.20473	1    	0       	1    	1    	14.11	5.4989  	6    	25   	3168.25	2220.77	140.057	8256.42
86 	25    	1.11038  	0.0402923 	1.05275    	1.20473	1    	0       	1    	1    	14.3 	5.38981 	6    	25   	3261.83	2253.32	140.057	8345.82
87 	25    	1.11337  	0.0390115 	1.05584    	1.20473	1    	0       	1    	1    	14.74	5.22804 	6    	25   	3402.96	2228.85	140.057	8345.82
88 	25    	1.11475  	0.0381337 	1.05596    	1.20473	1    	0       	1    	1    	14.94	5.07311 	7    	25   	3465.2 	2185.7 	140.057	8345.82
89 	25    	1.11602  	0.0374114 	1.0566     	1.20473	1    	0       	1    	1    	15.08	5.03524 	7    	25   	3477.79	2193.69	140.057	8345.82
90 	25    	1.12197  	0.0394493 	1.06731    	1.29742	1    	0       	1    	1    	15.87	4.99731 	8    	31   	3673.32	2243.73	140.057	8345.82
91 	25    	1.12222  	0.0391765 	1.06754    	1.29742	1    	0       	1    	1    	15.93	4.93813 	8    	31   	3707.8 	2232.99	140.057	8345.82
92 	25    	1.12478  	0.0384414 	1.07041    	1.29742	1    	0       	1    	1    	16.34	4.82953 	8    	31   	3861.77	2233.06	140.057	8345.82
93 	25    	1.1274   	0.0373098 	1.07532    	1.29742	1    	0       	1    	1    	16.74	4.60786 	8    	31   	3999.57	2203.45	140.057	8750.75
94 	25    	1.13084  	0.0360972 	1.08055    	1.29742	1    	0       	1    	1    	17.19	4.49154 	9    	31   	4105.5 	2174.45	140.057	8750.75
95 	25    	1.13382  	0.0359316 	1.08205    	1.29742	1    	0       	1    	1    	17.5 	4.46654 	9    	31   	4118.05	2173.34	140.057	8750.75
96 	25    	1.13382  	0.0359316 	1.08205    	1.29742	1    	0       	1    	1    	17.5 	4.46654 	9    	31   	4118.05	2173.34	140.057	8750.75
97 	25    	1.135    	0.0352253 	1.0824     	1.29742	1    	0       	1    	1    	17.73	4.31707 	9    	31   	4230.06	2157.15	140.057	8750.75
98 	25    	1.13833  	0.0332279 	1.08921    	1.29742	1    	0       	1    	1    	18.16	4.0981  	10   	31   	4327.21	2142.06	140.057	8345.82
99 	25    	1.14099  	0.031764  	1.09447    	1.29742	1    	0       	1    	1    	18.54	3.82993 	11   	31   	4440.57	2126.7 	140.057	8345.82
100	25    	1.14441  	0.0306131 	1.10248    	1.29742	1    	0       	1    	1    	18.83	3.87571 	11   	31   	4388.87	2084.01	140.057	8329.24
101	25    	1.14619  	0.0310247 	1.10345    	1.29742	1    	0       	1    	1    	19.03	3.91779 	11   	31   	4411.04	2055.84	140.057	8329.24
102	25    	1.14845  	0.030856  	1.10516    	1.29742	1    	0       	1    	1    	19.34	3.84245 	11   	31   	4494.87	2033.08	140.057	8329.24
103	25    	1.14891  	0.0305487 	1.10776    	1.29742	1    	0       	1    	1    	19.44	3.8061  	11   	31   	4548.73	2050.36	140.057	8329.24
104	25    	1.15064  	0.0302114 	1.11049    	1.29742	1    	0       	1    	1    	19.72	3.6334  	12   	31   	4656.03	1985.42	140.057	8329.24
105	25    	1.15257  	0.0291427 	1.11635    	1.29742	1    	0       	1    	1    	20.07	3.35337 	13   	31   	4813.46	1932.76	140.057	8329.24
106	25    	1.15453  	0.028353  	1.11818    	1.29742	1    	0       	1    	1    	20.27	3.23992 	13   	31   	4817.25	1828.88	140.057	8181.88
107	25    	1.15628  	0.0281026 	1.11962    	1.29742	1    	0       	1    	1    	20.5 	3.1     	13   	31   	4871.63	1736.54	140.057	8159.35
108	25    	1.15947  	0.0281158 	1.12187    	1.29742	1    	0       	1    	1    	20.92	2.8273  	14   	31   	4972.93	1547.09	140.057	8159.35
109	25    	1.16312  	0.028162  	1.12949    	1.29742	1    	0       	1    	1    	21.23	2.82438 	14   	31   	4917.76	1458.71	140.057	7870.03
110	25    	1.1639   	0.0278474 	1.13229    	1.29742	1    	0       	1    	1    	21.31	2.79534 	14   	31   	4920.28	1474.7 	140.057	7870.03
111	25    	1.1653   	0.0276099 	1.1337     	1.29742	1    	0       	1    	1    	21.43	2.76136 	14   	31   	4899.77	1398.4 	140.057	7870.03
112	25    	1.16607  	0.0272631 	1.13487    	1.29742	1    	0       	1    	1    	21.47	2.73662 	14   	31   	4863.44	1297.77	140.057	7870.03
